ID,W,G,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,BBHBP,SF,Outs,Outsinplay,RA,BA,OBA,SLG,OPS,LogRuns,Team_ID,Team_ID_Encoded
23,79,162,687,5369,1432.0,946,206,30,142,619,990,140,78,0,619,0,4045,3055,697,0.246600857,0.324482298,0.375488918,0.699971216,6.5337888379333435,Team_48,80.51826350729577
25,83,162,670,5450,1432.0,969,227,44,113,550,1023,121,78,0,550,0,4097,3074,626,0.248256881,0.317166667,0.368256881,0.685423547,6.508769136971682,Team_96,79.78353845446166
27,100,162,805,5585,1432.0,1080,258,29,156,587,766,111,38,0,587,0,4062,3296,640,0.272694718,0.341866494,0.413070725,0.754937219,6.692083742506628,Team_74,80.60960351986894
29,76,162,752,5560,1432.0,940,279,37,157,602,1177,131,53,46,648,43,4147,2970,815,0.254136691,0.329707247,0.402338129,0.732045376,6.6240652277998935,Team_87,79.46967711034428
31,83,162,666,5517,1432.0,1066,249,38,116,452,760,209,102,0,452,0,4048,3288,646,0.266267899,0.321829452,0.388254486,0.710083938,6.502790045915623,Team_11,80.6876732725293
33,71,162,723,5602,1432.0,1025,283,45,168,384,1038,66,28,53,437,52,4081,3043,787,0.271510175,0.321457889,0.428061407,0.749519295,6.584791392385716,Team_135,79.76364493635991
35,68,162,718,5559,1432.0,943,320,47,163,438,939,70,51,0,438,0,4086,3147,853,0.264975715,0.31865933,0.427415003,0.746074332,6.577861357721047,Team_75,80.18856998822673
37,95,162,733,5388,1432.0,927,288,42,138,582,914,137,52,0,582,0,3993,3079,619,0.258908686,0.331155779,0.404788419,0.735944198,6.598509028614515,Team_75,80.18856998822673
39,81,162,707,5473,1432.0,1022,235,32,126,455,791,165,62,0,455,0,4058,3267,679,0.258541933,0.315452092,0.382240088,0.697692179,6.56244409369372,Team_118,78.2165289677809
41,89,162,705,5485,1432.0,996,243,36,148,647,827,89,48,0,647,0,4062,3235,656,0.259434822,0.337573386,0.397812215,0.735385601,6.559615237493242,Team_137,80.6876732725293
43,100,144,840,5028,1432.0,952,279,23,207,542,766,132,53,0,542,0,3567,2801,607,0.290572792,0.359605027,0.478719173,0.8383242,6.734591659972948,Team_29,79.88500096778132
45,75,162,667,5477,1432.0,917,238,47,141,527,1095,122,51,0,527,0,4134,3039,673,0.24520723,0.311459027,0.383056418,0.694515445,6.504288173536645,Team_8,79.07985339874436
47,67,162,680,5573,1432.0,976,292,38,139,471,1092,73,30,72,543,49,4128,3036,769,0.259285842,0.322465531,0.400143549,0.72260908,6.523562306149512,Team_91,77.84180840021031
49,81,162,632,5482,1432.0,956,267,30,100,572,958,160,70,0,572,0,4129,3171,630,0.246807734,0.317971589,0.36118205,0.679153639,6.450470422144176,Team_23,79.14332055828211
51,87,162,673,5499,1432.0,1017,213,30,133,607,915,130,56,0,607,0,4106,3191,687,0.253318785,0.327546675,0.375522822,0.703069498,6.513230110912307,Team_29,79.88500096778132
53,98,162,812,5584,1498.0,1016,264,22,196,586,952,63,26,0,586,0,4086,3134,681,0.268266476,0.337763371,0.428724928,0.7664883,6.70073110954781,Team_94,80.46876264396167
55,69,162,748,5615,1516.0,1026,325,49,116,556,1021,90,45,35,591,51,4099,3078,880,0.269991095,0.336742848,0.40730187,0.744044718,6.618738983517219,Team_82,80.21336691063277
57,51,162,610,5457,1307.0,877,266,16,148,426,1535,110,61,52,478,38,4150,2615,848,0.239508888,0.298844802,0.375481034,0.674325835,6.415096959171596,Team_28,77.83185636540004
59,76,162,651,5422,1339.0,903,272,43,121,539,1238,155,46,54,593,34,4083,2845,710,0.246956842,0.319391635,0.379933604,0.699325239,6.480044561926653,Team_86,77.51346915829869
61,97,162,809,5714,1633.0,1193,266,59,115,508,709,185,43,0,508,0,4081,3372,694,0.285789289,0.344101575,0.413370669,0.757472244,6.697034247666484,Team_117,78.24317125352412
63,70,161,714,5483,1416.0,947,278,46,145,469,944,132,42,55,524,56,4067,3123,842,0.258252781,0.31997361,0.405070217,0.725043827,6.5722825426940075,Team_43,77.62187934681745
65,88,162,726,5476,1467.0,986,279,39,163,511,1103,59,23,57,568,39,4009,2906,670,0.267896275,0.334538879,0.422388605,0.756927484,6.588926477533519,Team_99,80.22457741386685
67,79,162,901,5728,1619.0,1014,376,35,194,595,1207,81,25,63,658,54,4109,2902,967,0.282646648,0.353571429,0.462115922,0.81568735,6.804614520062624,Team_149,78.60802230113683
69,53,115,547,3978,1045.0,687,238,21,99,417,680,59,37,0,417,0,2933,2253,586,0.262694822,0.332650739,0.407742584,0.740393324,6.306275286948016,Team_17,78.08382878769916
71,80,162,702,5475,1390.0,922,248,51,169,587,1109,111,49,0,587,0,4085,2976,749,0.253881279,0.32612999,0.410410959,0.736540949,6.555356891810665,Team_125,79.7216495326434
73,79,162,859,5572,1499.0,971,263,21,244,610,1095,130,45,0,610,0,4073,2978,905,0.26902369,0.341151731,0.455132807,0.796284538,6.756932389247553,Team_3,79.92188918976353
75,72,162,693,5441,1341.0,882,249,20,190,532,1149,78,45,52,584,35,4100,2951,839,0.246462047,0.317656766,0.404337438,0.721994204,6.542471960506805,Team_32,80.28747804394744
77,87,162,772,5572,1493.0,1013,296,25,159,568,1226,75,35,63,631,39,4079,2853,766,0.267946877,0.340275553,0.415649677,0.75592523,6.650279048587422,Team_19,79.77554565349752
79,90,162,875,5710,1600.0,1010,352,35,203,578,1108,102,42,50,628,50,4110,3002,737,0.280210158,0.348778961,0.460770578,0.809549538,6.775366090936392,Team_124,79.77554565349752
81,96,162,891,5710,1636.0,1127,325,23,161,676,954,99,58,0,676,0,4074,3120,688,0.286514886,0.362041967,0.436077058,0.798119025,6.79346613258001,Team_24,80.64554841440682
83,84,162,749,5503,1441.0,951,291,32,167,589,1120,71,27,59,648,37,4062,2942,695,0.261857169,0.337588882,0.417408686,0.754997568,6.620073206530356,Team_89,80.27606583556135
85,90,162,660,5460,1418.0,994,281,44,99,563,888,125,65,0,563,0,4042,3154,609,0.25970696,0.328905861,0.381684982,0.710590843,6.493753839851686,Team_107,81.82141971846934
87,75,162,816,5555,1460.0,947,298,36,179,503,1224,88,25,56,559,42,4095,2871,844,0.262826283,0.32797271,0.42610261,0.75407532,6.705639094860003,Team_35,78.29380580628175
89,101,162,791,5528,1490.0,1011,268,37,174,597,1160,108,58,0,597,0,4038,2878,581,0.269536903,0.340734694,0.425832127,0.766566821,6.674561391814426,Team_66,80.60355301069029
91,78,161,637,5508,1401.0,986,255,50,110,537,1016,193,95,0,537,0,4107,3091,688,0.254357298,0.320595533,0.378721859,0.699317393,6.45833828334479,Team_130,79.22922709560753
93,66,160,669,5422,1389.0,1015,220,28,126,490,818,98,50,0,490,0,4033,3215,763,0.256178532,0.317828146,0.376798229,0.694626376,6.507277712385012,Team_141,79.7091125924128
95,87,162,758,5661,1560.0,1123,275,32,130,534,673,62,38,0,534,0,4101,3428,679,0.275569687,0.338014528,0.404345522,0.74236005,6.63200177739563,Team_53,80.47483898790898
97,86,162,735,5539,1459.0,990,300,20,149,602,1064,58,26,52,654,47,4080,3016,641,0.263404947,0.338621795,0.405488355,0.74411015,6.601230118728877,Team_96,79.78353845446166
99,70,160,680,5499,1409.0,969,258,27,155,508,966,132,62,0,508,0,4090,3124,781,0.256228405,0.319127684,0.397526823,0.716654507,6.523562306149512,Team_85,79.06761202339203
101,46,103,407,3576,920.0,659,176,30,55,278,494,122,52,0,278,0,2656,2162,425,0.257270694,0.310845874,0.369407159,0.680253033,6.0112671744041615,Team_63,78.37525563334707
103,73,162,735,5544,1429.0,952,274,40,163,555,1201,118,42,57,612,44,4115,2914,774,0.257756133,0.329193548,0.40981241,0.739005958,6.601230118728877,Team_124,79.77554565349752
105,79,162,735,5612,1438.0,972,264,19,183,535,1250,97,50,63,598,40,4174,2924,720,0.256236636,0.32576,0.40787598,0.73363598,6.601230118728877,Team_104,79.21770468804517
107,96,162,855,5659,1599.0,1047,310,32,210,475,930,143,45,39,514,49,4060,3130,677,0.282558756,0.339601414,0.459975261,0.799576675,6.752270376141742,Team_39,79.81413345688416
109,85,162,574,5458,1328.0,919,260,25,124,407,985,80,36,72,479,28,4130,3145,556,0.243312569,0.30293378,0.368266764,0.671200545,6.354370040797351,Team_46,80.47756679954074
111,66,162,602,5498,1307.0,820,297,18,172,439,1230,63,32,67,506,30,4191,2961,689,0.237722808,0.300464037,0.392142597,0.692606634,6.401917196727186,Team_119,78.4197920174313
113,86,162,791,5543,1448.0,930,325,27,166,651,1155,72,29,55,706,38,4095,2940,697,0.261230381,0.342611739,0.419447952,0.762059691,6.674561391814426,Team_15,79.14332055828211
115,79,162,629,5472,1306.0,887,275,19,125,516,1264,101,34,54,570,44,4166,2902,618,0.238669591,0.308248439,0.364400585,0.672649024,6.4457198193855785,Team_105,79.8588764691577
117,71,161,634,5393,1423.0,1055,221,41,106,409,625,83,68,0,409,0,3970,3345,731,0.26386056,0.315753189,0.379009828,0.694763016,6.453624998892692,Team_35,78.29380580628175
119,55,161,673,5604,1418.0,953,297,35,133,456,1115,102,45,58,514,36,4186,3071,918,0.253033547,0.313942151,0.389721627,0.703663779,6.513230110912307,Team_33,78.65152336482947
121,74,162,707,5541,1439.0,1004,266,17,152,532,1039,81,59,0,532,0,4102,3063,812,0.259700415,0.324551293,0.396137881,0.720689174,6.56244409369372,Team_108,79.33136683864726
123,88,162,752,5484,1467.0,1006,263,21,177,467,922,160,74,79,546,38,4017,3095,704,0.26750547,0.331740277,0.419948942,0.751689219,6.6240652277998935,Team_121,78.93638824398828
125,82,162,642,5459,1361.0,923,273,18,147,545,1062,66,48,65,610,35,4098,3036,713,0.249313061,0.322903014,0.386700861,0.709603875,6.466144724237619,Team_83,80.27651685201475
127,80,163,861,5585,1516.0,989,291,38,198,551,916,127,46,0,551,0,4069,3153,931,0.271441361,0.336864407,0.4435094,0.780373807,6.759255270663693,Team_45,79.28355939771134
129,77,162,793,5567,1480.0,1017,253,23,187,594,1030,167,68,0,594,0,4087,3057,787,0.265852344,0.336633663,0.420334112,0.756967775,6.677083461247136,Team_45,79.28355939771134
131,67,161,634,5483,1358.0,896,295,32,135,540,1312,138,40,68,608,40,4125,2813,757,0.247674631,0.320665471,0.387014408,0.707679879,6.453624998892692,Team_11,80.6876732725293
133,85,163,736,5470,1386.0,956,247,37,146,471,843,108,56,0,471,0,4084,3241,720,0.253382084,0.312573641,0.39213894,0.70471258,6.602587892189336,Team_8,79.07985339874436
135,81,162,680,5530,1405.0,968,263,60,114,515,839,187,72,0,515,0,4125,3286,650,0.254068716,0.317617866,0.38517179,0.702789656,6.523562306149512,Team_24,80.64554841440682
137,101,162,770,5528,1505.0,1091,259,45,110,542,793,127,70,0,542,0,4023,3230,557,0.272250362,0.33723229,0.395079595,0.732311885,6.647688373563329,Team_110,81.7692300647022
139,64,162,587,5410,1319.0,974,227,30,88,529,887,98,81,0,529,0,4091,3204,663,0.243807763,0.311163496,0.345656192,0.656819688,6.376726947898627,Team_101,77.40770845452556
141,67,143,673,4886,1278.0,891,214,29,144,517,916,131,53,0,517,0,3608,2692,673,0.261563651,0.332222839,0.405648792,0.737871632,6.513230110912307,Team_57,78.73141318472601
143,89,163,845,5628,1540.0,1061,292,26,161,678,1040,102,51,0,678,0,4088,3048,739,0.273631841,0.351728513,0.420575693,0.772304205,6.740519359606223,Team_129,80.64554841440682
145,69,163,650,5493,1395.0,982,271,35,107,393,1060,159,51,0,393,0,4098,3038,718,0.253959585,0.303771662,0.374476607,0.678248268,6.478509642208569,Team_108,79.33136683864726
147,86,162,656,5436,1365.0,918,259,27,161,464,1192,88,28,40,504,39,4071,2879,626,0.251103753,0.312594079,0.397534952,0.710129031,6.48768401848461,Team_14,80.09960816609207
149,81,162,738,5625,1521.0,1117,240,44,120,598,954,87,46,0,598,0,4104,3150,692,0.2704,0.340511008,0.392711111,0.733222119,6.6052979209482015,Team_16,79.25970009176169
151,97,159,730,5555,1496.0,1109,231,36,120,470,616,163,65,0,470,0,4059,3443,575,0.269306931,0.326307054,0.388658866,0.71496592,6.594413459749778,Team_135,79.76364493635991
153,80,162,686,5496,1451.0,989,319,29,114,508,871,73,38,0,508,0,4045,3174,698,0.264010189,0.326282478,0.394832606,0.721115084,6.532334292222349,Team_29,79.88500096778132
155,79,162,817,5565,1520.0,992,303,11,214,593,903,86,48,0,593,0,4045,3142,785,0.273135669,0.343130887,0.44690027,0.790031156,6.706862336602747,Team_136,78.11355212439187
157,89,162,613,5364,1331.0,933,240,41,117,554,814,87,54,0,554,0,4033,3219,594,0.24813572,0.31851977,0.37360179,0.69212156,6.419994928147142,Team_63,78.37525563334707
159,72,162,579,5364,1306.0,996,202,20,88,416,882,160,101,0,416,0,4058,3176,671,0.243475019,0.297923875,0.337807606,0.635731482,6.363028103540465,Team_15,79.14332055828211
161,66,162,682,5650,1499.0,1132,229,26,112,528,980,126,76,0,528,0,4151,3171,807,0.265309735,0.328099709,0.374513274,0.702612983,6.52649485957079,Team_31,78.86341803446572
163,96,162,768,5497,1398.0,881,317,24,176,556,898,48,14,59,615,53,4099,3201,643,0.254320538,0.326520681,0.416772785,0.743293466,6.645090969505644,Team_111,81.19148866272155
165,66,162,613,5554,1440.0,1022,264,21,133,424,1056,76,34,54,478,45,4114,3058,785,0.259272596,0.315616258,0.386208138,0.701824396,6.419994928147142,Team_115,78.99985726791036
167,88,162,759,5502,1468.0,1014,281,31,142,495,1089,149,58,0,495,0,4034,2945,706,0.266812068,0.327330332,0.406579426,0.733909757,6.633318433280377,Team_74,80.60960351986894
169,69,161,747,5428,1401.0,941,284,24,152,641,834,135,68,0,641,0,4027,3193,829,0.258106116,0.336463997,0.403279293,0.73974329,6.617402977974478,Team_116,78.8038572081368
171,77,163,639,5610,1429.0,1048,242,33,106,442,767,119,60,0,442,0,4181,3414,609,0.254723708,0.309153999,0.36631016,0.675464159,6.461468176353717,Team_96,79.78353845446166
173,69,162,733,5525,1426.0,1036,240,25,125,555,932,138,93,0,555,0,4099,3167,792,0.258099548,0.325822368,0.378461538,0.704283907,6.598509028614515,Team_74,80.60960351986894
175,75,162,713,5617,1482.0,1034,286,36,126,508,1080,97,45,0,508,0,4135,3055,808,0.263841908,0.324897959,0.394872708,0.719770667,6.570882962339584,Team_49,78.85800620300988
177,85,162,748,5518,1409.0,941,228,29,211,461,1203,109,43,65,526,36,4109,2906,676,0.25534614,0.318256579,0.42189199,0.740148569,6.618738983517219,Team_12,80.71607961873718
179,69,162,699,5507,1408.0,955,289,34,130,466,986,102,47,48,514,37,4099,3113,751,0.255674596,0.317266425,0.391320138,0.708586563,6.551080335043404,Team_105,79.8588764691577
181,95,162,682,5502,1434.0,1051,226,28,129,539,846,136,58,0,539,0,4068,3222,579,0.260632497,0.326601556,0.382224646,0.708826202,6.52649485957079,Team_123,80.30365349564403
183,95,161,807,5536,1552.0,1035,291,41,185,549,745,100,53,0,549,0,3984,3239,722,0.280346821,0.345275267,0.447976879,0.793252146,6.694562058521095,Team_148,80.72953922183984
185,87,161,871,5556,1541.0,1017,294,25,205,631,1007,99,48,57,688,50,4015,3008,814,0.277357811,0.354146806,0.449964003,0.804110809,6.77078942390898,Team_48,80.51826350729577
187,57,161,568,5436,1340.0,981,251,28,80,514,842,110,60,0,514,0,4096,3254,708,0.246504783,0.311596639,0.347130243,0.658726881,6.343880434126331,Team_90,77.44420264236322
189,83,162,631,5594,1464.0,1064,262,44,94,495,996,208,118,0,495,0,4130,3134,604,0.261708974,0.321727706,0.374687165,0.696414871,6.448889394146858,Team_62,80.79095005250647
191,84,162,883,5642,1580.0,1017,337,14,212,578,1077,119,48,0,578,0,4062,2985,862,0.280042538,0.346945338,0.457461893,0.804407231,6.784457062637643,Team_31,78.86341803446572
193,94,162,718,5560,1476.0,1002,302,38,134,519,1246,138,50,61,580,43,4084,2838,617,0.265467626,0.332524664,0.405755396,0.73828006,6.577861357721047,Team_14,80.09960816609207
195,85,162,669,5575,1411.0,962,284,23,142,504,1189,104,27,42,546,49,4164,2975,653,0.25309417,0.317179903,0.388699552,0.705879454,6.507277712385012,Team_25,79.67965412892687
197,96,162,803,5570,1503.0,984,304,37,178,587,1158,86,32,59,646,48,4067,2909,668,0.26983842,0.34307152,0.433572711,0.776644231,6.6895992691789665,Team_29,79.88500096778132
199,78,162,760,5508,1499.0,1008,282,48,161,500,863,174,73,0,500,0,4009,3146,801,0.272149601,0.332723036,0.428467683,0.761190719,6.634633357861686,Team_109,78.34228628144017
201,83,162,735,5479,1432.0,934,300,36,162,575,1104,118,64,46,621,42,4047,2943,718,0.261361562,0.334255943,0.417959482,0.752215424,6.601230118728877,Team_74,80.60960351986894
203,67,162,639,5517,1425.0,999,255,46,125,443,862,85,67,0,443,0,4092,3230,765,0.25829255,0.313422819,0.389160776,0.702583595,6.461468176353717,Team_42,78.1678195951322
205,71,162,746,5618,1515.0,1054,267,47,147,445,1069,97,48,0,445,0,4103,3034,779,0.269668921,0.323272307,0.41242435,0.735696658,6.616065185132817,Team_14,80.09960816609207
207,96,162,773,5614,1514.0,1025,264,28,197,530,1032,83,43,0,530,0,4100,3068,648,0.269682936,0.332682292,0.431955825,0.764638116,6.651571873589727,Team_112,81.69543350731978
209,68,161,782,5559,1486.0,962,322,30,172,533,990,81,37,42,575,48,4073,3083,869,0.267314265,0.333387253,0.42885411,0.762241364,6.663132695990803,Team_93,77.51042108645524
211,71,162,684,5532,1376.0,882,289,20,185,512,1159,107,23,61,573,34,4156,2997,731,0.248734635,0.317478417,0.408532176,0.726010593,6.529418838262226,Team_67,78.31846777506655
213,89,162,799,5606,1491.0,1007,274,38,172,619,1024,138,36,39,658,49,4115,3091,715,0.265965037,0.340408681,0.420442383,0.760851064,6.684611727667927,Team_21,80.8479570263648
215,74,162,804,5490,1413.0,956,295,13,149,633,1122,131,47,0,633,0,4077,2955,866,0.257377049,0.334149927,0.39726776,0.731417686,6.690842277418564,Team_36,78.7049491524161
217,89,162,642,5422,1360.0,993,215,32,120,552,1013,136,67,0,552,0,4062,3049,626,0.250829952,0.320053565,0.368683143,0.688736708,6.466144724237619,Team_46,80.47756679954074
219,94,162,628,5431,1346.0,1005,217,25,99,437,947,131,46,0,437,0,4085,3138,544,0.247836494,0.303851397,0.351684773,0.65553617,6.444131256700441,Team_80,81.19148866272155
221,79,162,714,5599,1431.0,1072,208,17,134,613,863,102,62,0,613,0,4168,3305,733,0.255581354,0.329040567,0.370601893,0.69964246,6.5722825426940075,Team_36,78.7049491524161
223,85,162,786,5508,1470.0,1002,287,24,157,655,930,73,54,0,655,0,4038,3108,745,0.266884532,0.344799611,0.413217139,0.758016749,6.668228248417403,Team_55,78.53623404971326
225,89,162,738,5513,1472.0,1060,235,30,147,581,799,114,45,0,581,0,4041,3242,647,0.26700526,0.336888743,0.40050789,0.737396633,6.6052979209482015,Team_47,81.3403998387684
227,74,162,853,5518,1472.0,913,330,31,198,619,1134,63,37,52,671,38,4046,2912,892,0.26676332,0.344146459,0.44545125,0.789597709,6.74993119378857,Team_119,78.4197920174313
229,71,163,743,5665,1516.0,1063,277,24,152,431,902,89,36,54,485,40,4149,3247,820,0.26760812,0.323263328,0.405472198,0.728735526,6.612041034833092,Team_75,80.18856998822673
231,66,113,679,4022,1165.0,738,240,20,167,382,629,131,48,0,382,0,2857,2228,562,0.289656887,0.351271571,0.483838886,0.835110457,6.522092798170152,Team_145,79.36433619055416
233,73,162,599,5461,1343.0,979,259,21,84,591,865,44,48,0,591,0,4118,3253,669,0.245925655,0.319563781,0.347189159,0.66675294,6.396929655216146,Team_58,78.63901044860229
235,89,162,767,5536,1518.0,1036,273,22,187,449,1113,134,33,47,496,41,4018,2905,699,0.274205202,0.331631813,0.432803468,0.764435281,6.643789733147672,Team_148,80.72953922183984
237,94,162,700,5425,1341.0,899,263,30,149,567,1289,101,32,34,601,46,4084,2795,600,0.24718894,0.319828722,0.389124424,0.708953146,6.55250788703459,Team_41,81.04839216097903
239,49,112,569,3883,1045.0,663,211,18,153,372,652,48,21,0,372,0,2838,2186,616,0.269121813,0.333019976,0.450939995,0.783959971,6.345636360828596,Team_42,78.1678195951322
241,83,162,722,5505,1421.0,935,279,32,175,486,1075,153,40,48,534,38,4084,3009,648,0.258128974,0.321704789,0.415803815,0.737508603,6.583409222158765,Team_124,79.77554565349752
243,79,162,656,5465,1361.0,927,266,40,128,502,1095,130,44,46,548,57,4104,3009,652,0.249039341,0.314497529,0.382616651,0.69711418,6.48768401848461,Team_104,79.21770468804517
245,92,162,803,5468,1458.0,941,294,36,187,590,999,89,30,61,651,52,4010,3011,698,0.266642282,0.341759844,0.436174104,0.777933948,6.6895992691789665,Team_89,80.27606583556135
247,83,162,770,5530,1452.0,955,270,54,173,585,1274,99,42,47,632,47,4078,2804,717,0.262567812,0.33564181,0.42477396,0.76041577,6.647688373563329,Team_82,80.21336691063277
249,87,163,817,5608,1539.0,1056,271,40,172,585,1021,85,32,45,630,57,4069,3048,765,0.274429387,0.344559174,0.429029957,0.773589131,6.706862336602747,Team_121,78.93638824398828
251,93,163,637,5566,1455.0,1082,231,67,75,540,755,194,74,0,540,0,4111,3356,589,0.261408552,0.326727809,0.367409271,0.694137079,6.45833828334479,Team_40,77.95784257654961
253,74,162,766,5599,1451.0,937,302,35,177,529,1105,116,38,0,529,0,4148,3043,809,0.25915342,0.32310705,0.42043222,0.74353927,6.642486801367256,Team_32,80.28747804394744
255,80,162,894,5662,1578.0,1056,304,40,178,624,986,101,48,0,624,0,4084,3098,899,0.278700106,0.350302259,0.440833628,0.791135887,6.796823718274855,Team_87,79.46967711034428
257,89,162,664,5454,1417.0,1035,245,25,112,506,831,128,76,0,506,0,4037,3206,654,0.259809314,0.322651007,0.375504217,0.698155224,6.499787040655854,Team_18,81.82141971846934
259,63,162,687,5472,1359.0,937,262,24,136,514,989,133,53,77,591,49,4113,3124,829,0.248355263,0.319044503,0.379568713,0.698613216,6.5337888379333435,Team_114,78.90276526385752
261,54,161,550,5358,1275.0,919,199,20,137,504,869,69,44,0,504,0,4083,3214,789,0.237961926,0.303480041,0.359275849,0.66275589,6.311734809152915,Team_13,78.78290160642052
263,94,162,807,5486,1445.0,945,282,20,198,675,1037,66,46,45,720,51,4041,3004,738,0.26339774,0.346012466,0.43036821,0.776380676,6.694562058521095,Team_79,80.56155760697378
265,98,162,949,5720,1613.0,993,373,25,222,659,1189,68,30,69,728,55,4107,2918,768,0.281993007,0.359987698,0.472377622,0.83236532,6.856461984594587,Team_11,80.6876732725293
267,56,111,427,3766,941.0,691,161,26,63,386,543,89,50,0,386,0,2825,2282,414,0.249867233,0.31960501,0.35661179,0.676216799,6.059123195581797,Team_55,78.53623404971326
269,74,162,595,5452,1340.0,1007,211,37,85,518,778,88,55,0,518,0,4112,3334,686,0.245781365,0.311222781,0.344827586,0.656050367,6.39024066706535,Team_134,78.12582419141567
271,71,162,634,5551,1355.0,930,282,20,123,535,1337,63,25,68,603,52,4196,2859,715,0.244100162,0.315501128,0.368582237,0.684083365,6.453624998892692,Team_132,78.8397460545965
273,80,162,690,5570,1448.0,1037,237,27,147,566,1000,69,43,0,566,0,4122,3122,706,0.259964093,0.328226858,0.391382406,0.719609264,6.53813982376767,Team_146,79.50373951014369
275,105,162,855,5555,1544.0,987,319,24,214,548,1085,111,47,51,599,70,4011,2926,659,0.277947795,0.344312339,0.459585959,0.803898298,6.752270376141742,Team_107,81.82141971846934
277,83,162,961,5590,1607.0,1052,297,37,221,527,1108,201,66,0,527,0,3983,2875,964,0.287477639,0.348863822,0.472450805,0.821314627,6.8690144506657065,Team_96,79.78353845446166
279,68,162,752,5533,1400.0,981,245,21,153,615,1189,113,53,0,615,0,4133,2944,862,0.253027291,0.327748861,0.38785469,0.715603551,6.6240652277998935,Team_17,78.08382878769916
281,83,162,753,5536,1434.0,901,344,24,165,533,1044,57,22,47,580,48,4102,3058,699,0.259031792,0.326735886,0.41925578,0.745991666,6.625392368007956,Team_123,80.30365349564403
283,74,164,637,5539,1334.0,923,263,53,95,563,914,155,69,0,563,0,4205,3291,680,0.240837696,0.310881678,0.35890955,0.669791229,6.45833828334479,Team_4,78.04183338398263
285,92,162,697,5488,1411.0,935,284,30,162,487,1099,55,32,50,537,41,4077,2978,583,0.257106414,0.321134191,0.408345481,0.729479672,6.548219102762372,Team_131,79.84763574379295
287,86,162,758,5493,1399.0,902,264,27,206,519,1062,89,42,56,575,44,4094,3032,744,0.254687784,0.322971204,0.425086474,0.748057678,6.63200177739563,Team_42,78.1678195951322
289,93,162,790,5609,1522.0,948,337,30,207,503,1093,62,36,54,557,50,4087,2994,642,0.271349617,0.334459459,0.452843644,0.787303104,6.673297967767654,Team_18,81.82141971846934
291,86,162,714,5601,1520.0,1139,218,34,129,563,695,90,38,0,563,0,4081,3386,653,0.271380111,0.337929916,0.391537225,0.729467141,6.5722825426940075,Team_5,79.70257544397496
293,77,162,652,5475,1400.0,1023,228,38,111,537,952,83,73,0,537,0,4075,3123,705,0.255707763,0.322188955,0.372054795,0.69424375,6.481577129276431,Team_96,79.78353845446166
295,90,162,747,5582,1544.0,1138,275,27,104,527,834,123,74,0,527,0,4038,3204,653,0.276603368,0.339008021,0.391436761,0.730444782,6.617402977974478,Team_21,80.8479570263648
297,68,162,724,5569,1463.0,962,322,31,148,463,1135,68,30,71,534,51,4106,2971,846,0.262704256,0.324504387,0.41138445,0.735888837,6.586171654854675,Team_20,77.72607079195981
